Drug_Name,Reason,Description,mildness
Concor 5mg Tablet 10'SConcor 2.5mg Tablet 30'SConcor 10mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Concor AM 2.5mg Tablet 10'SConcor AM 5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Concor Cor 1.25mg Tablet 10'SConcor Cor 2.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Concor Plus Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,moderate
Converten 5mg Tablet 10'SConverten 2.5mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,moderate
Corbis 2.5mg Tablet 15'SCorbis 5mg Tablet 15'SCorbis H 5mg Tablet 10'SCorbis 10mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Corbis AM 5/5mg Tablet 10'SCorbis AM 5/2.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
CORBIS H 2.5mg Tablet 10'SCorbis H 2.5/6.25mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Corpril 5mg Tablet 10'SCorpril 5mg Capsule 10'SCorpril 10mg Tablet 10'SCorpril 2.5mg Tablet 10'SCorpril 1.25mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Corpril AM 5/2.5mg Capsule 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Corsa 5Mg Tablet 10's,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Corsa M 10/50Mg Tablet 10's,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Corsa T Tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Cortel 80mg Tablet 15'SCortel 20mg Tablet 15'SCortel 80mg Tablet 10'SCortel 40mg Tablet 15'SCortel 20mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Cortel A Tablet 10'SCortel A Tablet 15'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Cortel CH 40mg Tablet 15'SCortel CH 40mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,moderate
Cortel H 40mg Tablet 10'SCortel H 40mg Tablet 15'SCortel H 80mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,moderate
Cortel LN Tablet 10'SCortel LN Tablet 15'S,Hypertension,lower high blood pressure (hypertension),moderate
Cortel M 25mg Tablet 15'SCortel M 50mg Tablet 15'SCortel M 25mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Cortel Trio Tablet 15'SCortel Trio Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Corvadil A Tablet 10'SCorvadil 5mg Tablet 10'SCorvadil 2.5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Corvadil A Tablet 15'S,Hypertension,lower high blood pressure (hypertension),moderate
Corvadil M 50/5mg Tablet 10'SCorvadil M 25/2.5mg Tablet 10'SCorvadil M 25/5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Cosart 50mg Tablet 10'SCosart 25mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Cosart H Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Covamlo Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Covance 25mg Tablet 10'SCovance 25mg Tablet 30'SCovance 50mg Tablet 10'SCovance 50mg Tablet 30'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Covance AT Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,moderate
Covance CT Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,moderate
Covance D Tablet 10'SCovance D 50/12.5mg Tablet 30'S,Hypertension,lower high blood pressure (hypertension),moderate
Coversyl 8mg Tablet 10'SCoversyl 4mg Tablet 10'SCoversyl 2mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Coversyl AM 8/5mg Tablet 10'SCoversyl AM 4/5mg Tablet 10'SCoversyl AM 4/10mg Tablet 10'SCoversyl AM 8/10mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Coversyl Plus Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Coversyl Plus HD Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Creasar H 80/12.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Crema Gel 30gm,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Cresar 40mg Tablet 15'SCresar 80mg Tablet 10'SCresar 20mg Tablet 15'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Cresar AM 40/5mg Tablet 15'SCresar AM 80mg Tablet 10'SCresar AM 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Cresar CT 40/12.5mg Tablet 10'SCRESAR CT 40/6.25mg Tablet 10'sCresar CT 80mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Cresar H 40mg Tablet 10'SCresar H 40mg Tablet 15'SCresar H 80mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,moderate
Cresar Plus Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,moderate
Cresar R 40/2.5mg Tablet 10'SCresar R 40/5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Creslip 40/10mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
CTD L 6.25/50mg Tablet 10'SCTD T 6.25/40mg Tablet 10'SCTD L 12.5/25mg Tablet 10'SCTD 12.5mg Tablet 15'SCTD C 6.25/10mg Tablet 10'SCTD L 6.25/25mg Tablet 10'SCTD M 6.25/50mg Tablet 10'SCTD T 12.5/40mg Tablet 10'SCTD L 12.5/50mg Tablet 10'SCTD M 6.25/25mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
CTD AZ 40/12.5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
CTD C 12.5/10mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
CTD L 25/12.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
CTD M 12.5/50mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
CTD O 12.5/40mg Tablet 10'SCTD O 6.25/40mg Tablet 10'SCTD O 12.5/20mg Tablet 10'SCTD O 6.25/20mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
CTD T 12.5/20mg Tablet 10'SCTD T 40/12.5mg Tablet 10'SCTD T 40/6.25mg Tablet 10'SCTD T 6.25/20mg Tablet 10'SCTD T 12.5/40mg Tablet 15'SCTD T 12.5/80mg Tablet 10'SCTD T 6.25/40mg Tablet 15'S,Hypertension,lower high blood pressure (hypertension),moderate
Cymet ER 50mg Tablet 10'SCymet ER 25mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Cymet Plus 50/5mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,moderate
D Void Tablet 10'SD Void 0.01% Spray 2.5ml,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,moderate
Defidin 5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Defidin A 5/50mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Depicor 5mg Capsule 10'SDepicor SR 20mg Tablet 20'SDepicor 5mg Tablet 20'SDepicor 10mg Capsule 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Depicor SR 10mg Tablet 20'SDepicor SR 20mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Depin 10mg Capsule 30'SDepin Retard 20mg Tablet 10'SDepin 5mg Capsule 50'S,Hypertension,lower high blood pressure (hypertension),moderate
Depin SR 30mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Depten 50/20mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Digitel 40mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Dilcardia 30mg Tablet 10'SDilcardia 60mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Dilcontin 60mg Tablet 10'SDilcontin XL 90mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Dilcontin XL 120mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,moderate
Dilgard 30mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,moderate
Dilgard XL 300mg Capsule 10'SDilgard XL 180mg Capsule 10'SDilgard XL 90mg Capsule 10'SDilgard XL 240mg Capsule 10'SDilgard XL 120mg Capsule 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Dilgel Gel 30gm,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Dilminox 5mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Dilnip 5mg Tablet 10'SDilnip 20mg Tablet 10'SDilnip 10mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Dilnip T 10/40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Dilnip Trio Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Dilnorm 25mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Dilosar H 60/12.5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Dilpres 50mg Tablet 14'S,Hypertension,lower high blood pressure (hypertension),moderate
Dilter CD 120mg Tablet 6'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Diltilong 60mg Tablet 10'SDiltilong 30mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,moderate
Diltilong SR 90mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,moderate
Diltime 30mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Diltime SR 90mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Dilvas 2.5mg Tablet 10'SDilvas 10mg Tablet 10'SDilvas 5mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Dilzem 2% Gel 30gmDilzem Injection 5mlDilzem 30mg Tablet 15'SDilzem 30mg Tablet 10'SDilzem 240mg Capsule 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Dilzem CD 180mg Capsule 10'SDilzem CD 120mg Capsule 10'SDilzem CD 240mg Tablet 10'SDilzem CD 90mg Capsule 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Dilzem SR Tablet 15'SDilzem SR 90mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Dinospray 20mg Spray 20ml,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Diovan 160mg Tablet 14'SCO Diovan 80/12.5mg Tablet 14'SDiovan 80mg Tablet 14'SDiovan 40mg Tablet 14'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
DIP 5mg Tablet 10'SDIP 2.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
DIP A Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
DIPIN AT Tablet 10's,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,moderate
Diurem 2.5mg Tablet 10'SDiurem 5mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,moderate
Divret 1.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Dobucin 250mg Injection 1'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Doxacard 2mg Tablet 10'SDoxacard 4mg Tablet 10'SDoxacard 1mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Dralgeen 20 mg Injection 1'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Dtel H 40/12.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Duracard 1mg Tablet 10Duracard 2mg Tablet 10Duracard 4mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Dyloop Plus 20mg Tablet 10'SDyloop Plus 10mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Dytor 10mg Tablet 10'SDytor 5mg Tablet 10'SDytor 20mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Dytor Plus 10mg Tablet 10'SDytor Plus 5mg Tablet 15'SDytor Plus 20mg Tablet 15'S,Hypertension,lower high blood pressure (hypertension),moderate
Dytor Plus Forte Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
E Tel 20mg Tablet 10'SE Tel 40mg Tablet 10'SE Tel 80mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,moderate
E Tel H 80mg Tablet 10'SE Tel H 40/12.5mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,moderate
Ecator 2.5mg Tablet 10'SEcator 5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Ecotel 20mg Tablet 10'SEcotel 80mg Tablet 10'SEcotel 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Ecotel A Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Ecotel Beta 50mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Ecotel CC Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Ecotel H Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Eddzaar 80mg Tablet 10'SEddzaar 40mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Efnocar 20mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Efonta 20mg Tablet 10'SEfonta 10mg Tablet 10'SEfonta 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
EL 10mg Tablet 10'SEL 2.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
EL Nico 10mg Tablet 20'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,moderate
Eldapril 2.5mg Tablet 10'SEldapril 5mg Tablet 10'SEldapril 10mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,moderate
Eldotel 20mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Elpress 10mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Elpril 10mg Tablet 10'SElpril 5mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Elprol XL 25mg Tablet 15'SElprol XL 50mg Tablet 15'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Elsar 25mg Tablet 10'SElsar 50mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Elsar H Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Elsartan 25mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Elsartan AM Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Elsartan H Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
ELTEL H Tablet 10's,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Emadine 2.5mg Tablet 10'SEmadine 10mg Tablet 10'SEmadine 5mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,moderate
Emadine AT 5/50mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,moderate
Embeta 100mg Tablet 10'SEmbeta 25mg Tablet 10'SEmbeta 50mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Embeta AM 50mg Tablet 10'SEmbeta AM 25mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Embeta ER 50mg Tablet 10'SEmbeta ER 25mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Embeta HT 20/12.5mg Tablet 10'SEmbeta HT 50mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Embeta TM 25mg Tablet 10'SEmbeta TM 50mg Tablet 10'SEmbeta TM 50mg Tablet 15'SEmbeta TM 25mg Tablet 15'S,Hypertension,lower high blood pressure (hypertension),moderate
Embeta XR 25mg Tablet 30'SEmbeta XR 100mg Tablet 10'SEmbeta XR 50mg Tablet 30'SEmbeta XR 25mg Tablet 10'SEmbeta XR 50mg Tablet 15'SEmbeta XR 75mg Tablet 10'SEmbeta XR 75mg Tablet 15'SEmbeta XR 50mg Tablet 10'SEmbeta XR 12.5mg Tablet 10'SEmbeta XR 25mg Tablet 15'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Enace 5mg Tablet 10'SEnace 2.5mg Tablet 10'SEnace 10mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Enace D 2.5mg Tablet 30'SEnace D 2.5/12.5mg Tablet 10'SEnace D 5mg Tablet 30'SEnace D 5mg Tablet 10'SEnace D 5/12.5mg Tablet 10'SEnace D 10/25mg Tablet 10'SEnace D 10mg Tablet 30'SEnace D 2.5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Enal 2.5mg Tablet 10'SEnal 10mg Tablet 10'SEnal 5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Enal H 5mg Tablet 10'SEnal H 10mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Enalapril 5mg Tablet 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,moderate
Enam 10mg Tablet 15'SEnam 5mg Tablet 15'SEnam 20mg Tablet 10'SEnam 2.5mg Tablet 15'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,moderate
Enam D 5/12.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Enapril 5mg Tablet 15'SEnapril 2.5mg Tablet 10'SEnapril 2.5mg Tablet 15'SEnapril 5mg Tablet 10'SEnapril 10mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Enapril HT Tablet 10'SEnapril HT Tablet 15'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Enblok 2.5mg Tablet 10'SEnblok 5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Enblok H 5/12.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Encardil 2.5mg Tablet 10'SEncardil 10mg Tablet 10'SEncardil 5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Endobloc 10mg Tablet 10'SEndobloc 5mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Endobloc T Kit,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Eneril 5mg Tablet 10'SEneril 2.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Enpril 5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Envas 2.5mg Tablet 30'SEnvas 5mg Tablet 15'SEnvas Injection 1mlEnvas 2.5mg Tablet 15'SEnvas 10mg Tablet 15'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,moderate
Envas AM 5mg Tablet 15'SEnvas AM 2.5mg Tablet 15'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,moderate
Envas H 5mg Tablet 10'SEnvas H 10mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
ENZIDE 10/25mg Tablet 10's,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Eplecard 25mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Eplehef 50mg Tablet 10'SEplehef 25mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Epnone 50mg Tablet 10'SEpnone 25mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Epofaith 6000IU Prefilled Syringe 1'SEpofaith 2000IU Prefilled Syringe 1'SEpofaith 4000IU Prefilled Syringe 1'SEpofaith 10000IU Prefilled Syringe 1'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Eporise 20000IU Prefilled Syringe 1'SEporise 40000IU Prefilled Syringe 1ml,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
EPTUS T 20 Kit 1's,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Eptus T10 Kit 1'S,Hypertension,lower high blood pressure (hypertension),moderate
Eritel 40mg Tablet 15'SEritel 40mg Tablet 10'SEritel 20mg Tablet 15'SEritel 80mg Tablet 10'SEritel 20mg Tablet 10'SEritel 80mg Tablet 15'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Eritel AM 80mg Tablet 15'SEritel AM 40mg Tablet 15'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,moderate
Eritel CH 80mg Tablet 15'SEritel CH 40mg Tablet 15'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,moderate
Eritel CH 40 Trio Tablet 15'S,Hypertension,lower high blood pressure (hypertension),moderate
Eritel CH LS 80mg Tablet 10'SEritel CH LS 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Eritel CH Trio 80mg Tablet 15'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Eritel H 40mg Tablet 15'SEritel H 80mg Tablet 15'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Eritel LN 40mg Tablet 10'SEritel LN 40mg Tablet 15'SEritel LN 80mg Tablet 10'SEritel LN 80mg Tablet 15'S,Hypertension,lower high blood pressure (hypertension),moderate
Eritel LN HS 80mg Tablet 10'SEritel LN HS 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Eritel Trio Tablet 15'SEritel Trio Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Esam 5mg Tablet 10'SEsam 2.5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Esam AT Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Esam LT Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Esam R Capsule 10'S,Hypertension,lower the chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy,moderate
Esamlo AT Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure,moderate
Esamlovin 2.5mg Tablet 10'SEsamlovin 1.25mg Tablet 10'SEsamlovin 5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Esamlovin N Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Eslo 1.25mg Tablet 15'SEslo 10mg Tablet 10'SEslo 5mg Tablet 15'SEslo 2.5mg Tablet 15'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
Eslo AT 50/2.5mg Tablet 10'SEslo AT 2.5mg Tablet 10'SEslo AT 2.5mg Tablet 15'SEslo AT 5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults,moderate
Eslo D Tablet 10'S,Hypertension,lower high blood pressure (hypertension),moderate
Eslo Met 2.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH),moderate
Eslo Tan Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina,moderate
